,coef,std err,z,P>|z|,[0.025,0.975]
CSI12NoMissing,-0.0983,0.018000000000000002,-5.471,0.0,-0.134,-0.063
RentPropNoMissing,0.3409,0.067,5.065,0.0,0.209,0.473
AvgFirstMonthSalNoMissing,0.1998,0.040999999999999995,4.917,0.0,0.12,0.27899999999999997
YearsPartnerPartnerNoMissing,0.0658,0.018000000000000002,3.674,0.0,0.031,0.10099999999999999
YearsSchoolPartnerNoMissing,-0.0723,0.017,-4.374,0.0,-0.105,-0.04
AvgRentNoMissing,-0.6035,0.083,-7.234,0.0,-0.767,-0.44
SchoolSelectivityNoMissing,-0.0668,0.017,-3.948,0.0,-0.1,-0.034
AgeAtFDOSNoMissing,0.2165,0.013999999999999999,15.525,0.0,0.18899999999999997,0.244
CLI6NoMissing,-0.1411,0.035,-4.012,0.0,-0.21,-0.07200000000000001
OtherCMsSameCoachNoMissing,-0.1234,0.013999999999999999,-8.666,0.0,-0.151,-0.096
DaysTSubmitNoMissing,-0.1335,0.013999999999999999,-9.738999999999999,0.0,-0.16,-0.107
CorpsSizeNoMissing,-0.1559,0.024,-6.539,0.0,-0.203,-0.109
CSI5NoMissing,-0.064,0.02,-3.258,0.001,-0.10300000000000001,-0.026000000000000002
OtherCMsPrevCoachNoMissing,0.0831,0.024,3.4130000000000003,0.001,0.035,0.131
CommAndPresNoMissing,-0.0383,0.015,-2.559,0.01,-0.068,-0.009000000000000001
CMProspectRatingNoMissing,0.0386,0.017,2.234,0.026000000000000002,0.005,0.07200000000000001
FinalAchievementNoMissing,0.0394,0.019,2.105,0.035,0.003,0.076
PerseveranceNoMissing,-0.0708,0.035,-2.037,0.042,-0.139,-0.003
CSI3NoMissing,-0.0381,0.02,-1.946,0.052000000000000005,-0.076,0.0
GenderMale,0.4237,0.237,1.788,0.07400000000000001,-0.040999999999999995,0.888
PredModelScoreNoMissing,-0.0368,0.021,-1.714,0.087,-0.079,0.005
GenderFemale,0.3546,0.24,1.476,0.14,-0.11599999999999999,0.825
RegPrefLevNoMissing,0.0341,0.031,1.103,0.27,-0.026000000000000002,0.095
CLI8NoMissing,-0.0199,0.021,-0.9520000000000001,0.341,-0.061,0.021
RelationshipBuildingNoMissing,-0.0121,0.015,-0.83,0.40700000000000003,-0.040999999999999995,0.016
FRPLNoMissing,0.0113,0.013999999999999999,0.8190000000000001,0.413,-0.016,0.038
CSI6NoMissing,-0.0156,0.019,-0.809,0.418,-0.053,0.022000000000000002
CMsInSchoolNoMissing,-0.0112,0.015,-0.754,0.451,-0.04,0.018000000000000002
CertProgramCostNoMissing,0.0138,0.025,0.552,0.581,-0.035,0.063
CumuGPANoMissing,-0.0077,0.016,-0.484,0.628,-0.039,0.024
FitNoMissing,0.0086,0.027000000000000003,0.32,0.7490000000000001,-0.044000000000000004,0.061
YearsAsCoach,0.006,0.024,0.254,0.799,-0.04,0.052000000000000005
Grade_ECE,-0.1385,1070000000000.0,-1.3e-13,1.0,-2090000000000.0,2090000000000.0
Grade_HIGH,0.0495,1070000000000.0,4.64e-14,1.0,-2090000000000.0,2090000000000.0
Grade_LOWELEM,-0.0016,1070000000000.0,-1.46e-15,1.0,-2090000000000.0,2090000000000.0
Grade_MIDDLE,0.1794,1070000000000.0,1.6800000000000002e-13,1.0,-2090000000000.0,2090000000000.0
Grade_UPPERELEM,0.3138,1070000000000.0,2.94e-13,1.0,-2090000000000.0,2090000000000.0
Grade_Unknown,-0.1223,1070000000000.0,-1.15e-13,1.0,-2090000000000.0,2090000000000.0
Title1No,0.0912,866000000000.0,1.05e-13,1.0,-1700000000000.0,1700000000000.0
LGB_NoProtect,0.3767,1120000000000.0,3.37e-13,1.0,-2190000000000.0,2190000000000.0
School_Charter,-0.0841,1600000000000.0,-5.25e-14,1.0,-3140000000000.0,3140000000000.0
School_Public,-0.4339,1600000000000.0,-2.71e-13,1.0,-3140000000000.0,3140000000000.0
School_Other,0.7985,1600000000000.0,4.98e-13,1.0,-3140000000000.0,3140000000000.0
Title1Yes,0.1892,866000000000.0,2.18e-13,1.0,-1700000000000.0,1700000000000.0
LGB_LocalProtect,0.0506,1120000000000.0,4.53e-14,1.0,-2190000000000.0,2190000000000.0
MajorTeaching_Mismatch,0.1513,544000000000.0,2.7800000000000003e-13,1.0,-1070000000000.0,1070000000000.0
TeacherPP_No,0.249,1000000000000.0,2.49e-13,1.0,-1960000000000.0,1960000000000.0
TeacherPP_Yes,0.0314,1000000000000.0,3.14e-14,1.0,-1960000000000.0,1960000000000.0
Region_Large,0.1566,701000000000.0,2.2399999999999998e-13,1.0,-1370000000000.0,1370000000000.0
Region_Medium,0.136,701000000000.0,1.9399999999999998e-13,1.0,-1370000000000.0,1370000000000.0
Region_Small,-0.0123,701000000000.0,-1.75e-14,1.0,-1370000000000.0,1370000000000.0
Urbanicity_Both,0.1739,1640000000000.0,1.06e-13,1.0,-3210000000000.0,3210000000000.0
Urbanicity_Rural,-0.3259,1640000000000.0,-1.9899999999999999e-13,1.0,-3210000000000.0,3210000000000.0
Urbanicity_Urban,0.4324,1640000000000.0,2.6400000000000004e-13,1.0,-3210000000000.0,3210000000000.0
COL_High,0.3649,834000000000.0,4.3799999999999995e-13,1.0,-1630000000000.0,1630000000000.0
COL_Low,0.0663,834000000000.0,7.96e-14,1.0,-1630000000000.0,1630000000000.0
COL_Medium,-0.1508,834000000000.0,-1.8100000000000004e-13,1.0,-1630000000000.0,1630000000000.0
MajorTeaching_Match,0.1291,544000000000.0,2.37e-13,1.0,-1070000000000.0,1070000000000.0
DeferralNotRequested,0.1505,1220000000000.0,1.24e-13,1.0,-2390000000000.0,2390000000000.0
LGB_StateProtect,-0.1469,1120000000000.0,-1.31e-13,1.0,-2190000000000.0,2190000000000.0
DeferralRequested,0.1299,1220000000000.0,1.0699999999999999e-13,1.0,-2390000000000.0,2390000000000.0
AttendLIC_HS_No,0.086,1250000000000.0,6.86e-14,1.0,-2460000000000.0,2460000000000.0
VarsitySport_No_Or_Unknown,0.1794,2090000000000.0,8.57e-14,1.0,-4110000000000.0,4110000000000.0
K12TeachNo,0.2749,2110000000000.0,1.3e-13,1.0,-4140000000000.0,4140000000000.0
K12TeachYes,0.205,2110000000000.0,9.699999999999999e-14,1.0,-4140000000000.0,4140000000000.0
K12TeachNull,0.2247,2110000000000.0,1.06e-13,1.0,-4140000000000.0,4140000000000.0
HadFamRespNo,0.3166,1220000000000.0,2.6e-13,1.0,-2390000000000.0,2390000000000.0
HadFamRespYes,0.387,1220000000000.0,3.18e-13,1.0,-2390000000000.0,2390000000000.0
HadFamRespNull,0.5077,1220000000000.0,4.1700000000000004e-13,1.0,-2390000000000.0,2390000000000.0
PellGrantNoOrMissing,-0.4744,2070000000000.0,-2.29e-13,1.0,-4050000000000.0,4050000000000.0
PellGrantYes,-0.5495,2070000000000.0,-2.6600000000000003e-13,1.0,-4050000000000.0,4050000000000.0
CalcGradStudent,0.2721,1130000000000.0,2.4e-13,1.0,-2220000000000.0,2220000000000.0
CalcJunior,0.1617,1130000000000.0,1.4300000000000002e-13,1.0,-2220000000000.0,2220000000000.0
CalcProfessional,0.1299,1130000000000.0,1.15e-13,1.0,-2220000000000.0,2220000000000.0
CalcUndergrad,0.348,1130000000000.0,3.07e-13,1.0,-2220000000000.0,2220000000000.0
CalcUnknown,-0.0265,1130000000000.0,-2.35e-14,1.0,-2220000000000.0,2220000000000.0
MajorOffered_Match,0.1299,748000.0,1.74e-07,1.0,-1470000.0,1470000.0
AttendLIC_HS_Yes,0.0308,1250000000000.0,2.45e-14,1.0,-2460000000000.0,2460000000000.0
AttendLIC_HS_Unknown,0.4022,1250000000000.0,3.21e-13,1.0,-2460000000000.0,2460000000000.0
GrewUpLIC_No_Or_Unknown,0.1026,890000000000.0,1.15e-13,1.0,-1740000000000.0,1740000000000.0
GrewUpLIC_Yes,0.1778,890000000000.0,2e-13,1.0,-1740000000000.0,1740000000000.0
LIC_Served_No_Or_Unknown,0.1002,1200000000000.0,8.33e-14,1.0,-2360000000000.0,2360000000000.0
LIC_Served_Yes,0.1802,1200000000000.0,1.5e-13,1.0,-2360000000000.0,2360000000000.0
Eth_Black,-0.2978,959000000000.0,-3.11e-13,1.0,-1880000000000.0,1880000000000.0
Eth_Native,0.3348,959000000000.0,3.4899999999999993e-13,1.0,-1880000000000.0,1880000000000.0
Eth_AsianAmPacIsl,0.2292,959000000000.0,2.39e-13,1.0,-1880000000000.0,1880000000000.0
Eth_Latinx,0.0807,959000000000.0,8.42e-14,1.0,-1880000000000.0,1880000000000.0
Eth_MultiEthMultiRacial,-0.0877,959000000000.0,-9.15e-14,1.0,-1880000000000.0,1880000000000.0
Eth_OtherOrUnknown,-0.0121,959000000000.0,-1.26e-14,1.0,-1880000000000.0,1880000000000.0
Eth_White,0.0333,959000000000.0,3.47e-14,1.0,-1880000000000.0,1880000000000.0
VarsitySport_Yes,0.101,2090000000000.0,4.82e-14,1.0,-4110000000000.0,4110000000000.0
MajorOffered_Mismatch,0.1505,774000.0,1.94e-07,1.0,-1520000.0,1520000.0
